14	1528	55																											
																													
ind	pop	C08		C24		D05		D10		D33		D34		D41		Q02		Q03		Q04		T13		T15		T29		T30	
KASH09	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH10	pop03	137	137	99	99	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH11	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	78	78	139	139	138	138	139	139	173	173	175	175	144	144
KASH12	pop03	137	137	99	99	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH13	pop03	137	137	99	99	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH14	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH15	pop03	137	137	96	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH16	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	139	139	173	173	175	175	144	144
KASH17	pop03	137	137	99	99	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH18	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH19	pop03	137	137	99	99	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH20	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH21	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH22	pop03	137	137	99	99	187	187	212	212	289	289	187	187	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH23	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH24	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH25	pop03	137	137	99	99	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH26	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH27	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH28	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH29	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	139	139	173	173	175	175	144	144
KASH30	pop03	137	137	99	99	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH31	pop03	137	137	96	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH32	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
INHO01	pop04	137	137	102	102	187	187	210	210	291	291	189	189	103	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
INHO02	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
INHO03	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
INHO04	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	139	130	130	139	139	173	173	175	175	144	144
INHO05	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	87	132	139	130	130	139	139	173	173	175	175	149	149
INHO06	pop04	137	137	102	102	187	187	210	210	289	289	189	189	103	103	78	78	132	132	130	130	139	139	173	173	175	175	149	149
INHO07	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
INHO08	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	139	139	118	118	139	139	173	173	175	175	149	149
INHO09	pop04	137	137	102	102	187	187	210	210	289	289	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
INHO10	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
INHO11	pop04	137	137	102	102	187	187	210	210	289	291	189	189	106	106	78	78	139	139	130	130	139	139	173	173	175	175	144	144
INHO12	pop04	137	137	102	102	187	187	210	210	291	291	189	189	103	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
INHO13	pop04	137	137	102	102	187	187	210	210	291	291	189	189	103	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
INHO14	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	139	130	130	139	139	173	173	175	175	149	149
INHO15	pop04	137	137	102	102	187	187	210	210	289	289	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
INHO16	pop04	137	137	102	102	187	187	210	210	289	291	189	189	106	106	78	78	132	139	130	130	139	139	173	173	175	175	144	144
INHO17	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	139	139	130	130	139	139	173	173	175	175	144	144
INHO18	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	139	139	130	130	139	139	173	173	175	175	144	144
INHO19	pop04	137	137	102	102	187	187	210	210	291	291	189	189	103	106	78	78	132	139	130	130	139	139	173	173	175	175	149	149
INHO20	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
INHO21	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
INHO22	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
INHO23	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	87	132	132	130	130	139	139	173	173	175	175	149	149
INHO24	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	139	139	130	130	139	139	173	173	175	175	144	144
INHO25	pop04	137	137	102	102	187	187	210	210	289	289	189	189	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
INHO26	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	87	132	132	130	130	139	139	173	173	175	175	149	149
INHO27	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	139	139	130	130	139	139	173	173	175	175	144	144
INHO28	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	87	132	132	130	130	139	139	173	173	175	175	149	149
INHO29	pop04	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI01	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI02	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI03	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI04	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	NA	NA	130	130	139	139	173	173	175	175	144	144
ARI05	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI06	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI07	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI08	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI09	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI10	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	136	136	173	173	175	175	144	144
ARI11	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI12	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI13	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	136	136	173	173	175	175	144	144
ARI14	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI15	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI16	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI17	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI18	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI19	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI20	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI21	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI22	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI23	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI24	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI25	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI26	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI27	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI28	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI29	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI30	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI31	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ARI32	pop05	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN01	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN02	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN03	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN04	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN05	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN06	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN07	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN08	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN09	pop06	137	137	102	102	187	187	210	210	289	289	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN10	pop06	137	137	99	99	189	189	212	212	289	289	189	189	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN11	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN12	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN13	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN14	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN15	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN16	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN17	pop06	137	137	102	102	187	187	210	210	289	289	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN18	pop06	137	137	99	99	187	189	210	212	291	291	187	189	106	106	87	87	132	139	130	138	136	139	173	173	175	175	144	144
ANAN19	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN20	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN21	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN22	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN23	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN24	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN25	pop06	137	137	102	102	187	187	210	210	289	289	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN26	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN27	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN28	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
ANAN29	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN31	pop06	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
ANAN32	pop06	137	137	99	99	189	189	212	212	289	289	187	187	106	106	87	87	139	139	138	138	136	136	173	173	175	175	144	144
HIRO01	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
HIRO02	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO03	pop07	137	137	102	102	187	187	210	210	291	291	189	189	103	103	78	78	132	132	130	130	139	139	173	173	175	175	144	144
HIRO04	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO05	pop07	125	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO06	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO07	pop07	137	137	102	102	187	187	210	210	291	291	189	189	103	103	78	78	132	132	130	130	139	139	173	173	175	175	144	144
HIRO08	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO09	pop07	137	137	102	102	187	187	210	210	291	291	189	189	103	103	78	78	132	132	130	130	139	139	173	173	175	175	144	144
HIRO10	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO11	pop07	137	137	102	102	187	187	210	210	291	291	189	189	103	103	78	78	132	132	130	130	139	139	173	173	175	175	144	144
HIRO12	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
HIRO13	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
HIRO14	pop07	137	137	102	102	187	187	210	210	291	291	189	189	103	103	78	78	132	132	130	130	139	139	173	176	175	175	144	144
HIRO15	pop07	137	137	102	102	187	187	210	210	291	291	189	189	103	103	78	78	132	132	130	130	139	139	173	173	175	175	144	144
HIRO16	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO17	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO18	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO19	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	176	175	175	144	149
HIRO20	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO21	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	176	176	175	175	149	149
HIRO22	pop07	137	137	102	102	187	187	NA	NA	291	291	187	187	106	106	78	78	132	132	130	130	139	139	173	173	175	175	144	144
HIRO23	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	176	175	175	144	149
HIRO24	pop07	137	137	102	102	187	187	210	210	291	291	189	189	106	106	78	78	132	132	130	130	139	139	173	173	175	175	149	149
