Sample,BioSample.x,SampleName.x,location,Region,pop,Latitude,Longitude,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,BioSample.y,SampleType,TaxID,ScientificName,SampleName.y,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRS2533352,SAMN07347670,  13_15, China:Canada,China,ANG,,,SRR6062983,2018-07-30 10:46:17,2017-09-23 16:38:48,92856414,16714154520,92856414,180,11453,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062983/SRR6062983.1,SRX3208256,wHAIPI013929-78,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347670,simple,29159,Crassostrea gigas,13_15,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,D018E8881596A86CE935E6DA0D663B08,812AB5E5DC4F11FE19A378457F421CB0
SRS2533353,SAMN07347672,  13_20, China:Canada,China,ANG,,,SRR6062982,2018-07-30 10:46:17,2017-09-23 16:20:53,53345001,9602100180,53345001,180,6510,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062982/SRR6062982.1,SRX3208257,wHAIPI013881-97,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347672,simple,29159,Crassostrea gigas,13_20,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,8DEDAE34E769D9D0F7A8BB81818410D2,E7DDA1C3397723C85FBF9956E10BF17C
SRS2533354,SAMN07347673,  13_21, China:Canada,China,ANG,,,SRR6062980,2018-07-30 10:46:17,2017-09-23 16:39:40,96327862,17339015160,96327862,180,11685,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062980/SRR6062980.1,SRX3208258,wHAIPI012865-42,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347673,simple,29159,Crassostrea gigas,13_21,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,30A5CB5151172BAA9666BEE06531FBC3,C15A081A21006CE8791DC11FAEB7B940
SRS2533355,SAMN07347676,  13_4, China:Canada,China,ANG,,,SRR6062978,2018-07-30 10:46:17,2017-09-23 16:10:47,44833144,8069965920,44833144,180,5291,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062978/SRR6062978.1,SRX3208260,wHAIPI012681-31,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347676,simple,29159,Crassostrea gigas,13_4,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,9A396CDB895C5C04D8D92E2C82F91DDE,46834CEC7769FDD974505C0AA5AC31B4
SRS2533356,SAMN07347675,  13_3, China:Canada,China,ANG,,,SRR6062979,2018-07-30 10:46:17,2017-09-23 16:43:59,96131702,17303706360,96131702,180,11763,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062979/SRR6062979.1,SRX3208259,wHAIPI013930-79,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347675,simple,29159,Crassostrea gigas,13_3,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,DEF7C2E3E1DA1BE17D4796A8DC3ADBA0,DBFD0A56DD0003361E39EB24D4AC1DE3
SRS2533153,SAMN07347919,  22_1, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063176,2018-07-30 10:46:12,2017-09-23 18:11:32,125708193,22627474740,125708193,180,15187,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063176/SRR6063176.1,SRX3208057,wHAIPI012662-33,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347919,simple,29159,Crassostrea gigas,22_1,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,2785069180EF33FA83CDA005B58BD728,B72EB36FFADD8626E69E8D2E10C42A4D
SRS2533212,SAMN07347936,  8A_7, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063117,2018-07-30 10:46:14,2017-09-23 16:57:13,97600897,17568161460,97600897,180,11133,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063117/SRR6063117.1,SRX3208116,wHAIPI013899-35,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347936,simple,29159,Crassostrea gigas,8A_7,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,A16D6F4285EFB02F5A6F118B78FD4D26,24FE7F94FE98D9E01CD927D18524E33C
SRS2533213,SAMN07347926,  8A_8, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063116,2018-07-30 10:46:14,2017-09-23 16:39:28,66209998,13241999600,66209998,200,8212,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063116/SRR6063116.1,SRX3208117,wHAIPI000000-36,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347926,simple,29159,Crassostrea gigas,8A_8,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,FFF077C4B27AB0ED4FFCB2346C8FCFD9,0D1FF8075EC5FBCAACC83B230AE9CACE
SRS2533214,SAMN07347937,  8A_9, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063115,2018-07-30 10:46:14,2017-09-23 16:59:19,108593451,19546821180,108593451,180,13171,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063115/SRR6063115.1,SRX3208118,wHAIPI012659-30,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347937,simple,29159,Crassostrea gigas,8A_9,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,757BC4810497AF54054F0EF078DC08EF,AA3616F9C530688190179FA35395B76C
SRS2533230,SAMN07347930,  8A_12, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063101,2018-07-30 10:46:14,2017-09-23 16:58:32,99526702,17914806360,99526702,180,12179,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063101/SRR6063101.1,SRX3208134,wHAIPI012656-25,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347930,simple,29159,Crassostrea gigas,8A_12,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,7BAD107371A50F47009860EAA9E178A1,6E66837564A7A409A60E6FBEDA81ABB1
SRS2533232,SAMN07347931,  8A_13, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063100,2018-07-30 10:46:14,2017-09-23 16:46:29,115192447,20734640460,115192447,180,14043,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063100/SRR6063100.1,SRX3208135,wHAIPI012657-26,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347931,simple,29159,Crassostrea gigas,8A_13,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,B18C90C27D6EC0D56B20E135C902E4C5,8BEACAC12B8EC78576E10F201CA68CC3
SRS2533248,SAMN07347920,  22_15, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063084,2018-07-30 10:46:14,2017-09-23 17:11:57,100993925,18178906500,100993925,180,12276,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063084/SRR6063084.1,SRX3208152,wHAIPI012653-19,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347920,simple,29159,Crassostrea gigas,22_15,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,F4AEC59CA73D01450AE5BFFBC62C5339,E8CCC0EAFA56965615DE9268E9DE2F05
SRS2533249,SAMN07347921,  22_18, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063083,2018-07-30 10:46:14,2017-09-23 16:40:51,89655015,16137902700,89655015,180,10869,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063083/SRR6063083.1,SRX3208153,wHAIPI012663-34,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347921,simple,29159,Crassostrea gigas,22_18,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,5B5B6B4AB416ABBEA250A6B595360940,87F67880052554AB5CE5FEDA826956FD
SRS2533250,SAMN07347922,  22_25, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063082,2018-07-30 10:46:14,2017-09-23 17:04:33,124008633,22321553940,124008633,180,15079,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063082/SRR6063082.1,SRX3208154,wHAIPI013903-21,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347922,simple,29159,Crassostrea gigas,22_25,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,F4163A1D81B72F26FD84AC70E0E91C36,EE784D62B9DCFB17564B197DA1790561
SRS2533252,SAMN07347923,  22_9, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063081,2018-07-30 10:46:14,2017-09-23 17:14:06,111191209,20014417620,111191209,180,13461,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063081/SRR6063081.1,SRX3208156,wHAIPI012654-21,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347923,simple,29159,Crassostrea gigas,22_9,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,6913BF7A66C833C6427D4BE136DA93E0,4904B7F450CF145EED403FF0FD4CB5C1
SRS2533253,SAMN07347925,  23_25, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063078,2018-07-30 10:46:14,2017-09-23 16:32:40,89093852,16036893360,89093852,180,10968,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063078/SRR6063078.1,SRX3208158,wHAIPI012660-31,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347925,simple,29159,Crassostrea gigas,23_25,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,08896F599C79CB514039EEA9E48861FD,B7EF6DC822097BA7D7520B4E74D560D4
SRS2533254,SAMN07347924,  23_20, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063080,2018-07-30 10:46:14,2017-09-23 16:53:51,114157096,20548277280,114157096,180,13799,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063080/SRR6063080.1,SRX3208157,wHAIPI012664-35,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347924,simple,29159,Crassostrea gigas,23_20,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,8DB5EB2DFEC09C6B3E51E86A96F6B749,ED373017CD7DEE2FF153CF2CB5297DDA
SRS2533439,SAMN07347928,  8A_10, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063296,2018-07-30 10:46:19,2017-09-23 20:43:31,101343350,18241803000,101343350,180,12270,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063296/SRR6063296.1,SRX3208344,wHAIPI013900-24,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347928,simple,29159,Crassostrea gigas,8A_10,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,B6E3C93E6390A47B74B1CDFB4412AE32,E55B53DD8A2B6E36EC219EEF79DA5D97
SRS2533440,SAMN07347929,  8A_11, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063294,2018-07-30 10:46:19,2017-09-23 20:37:30,109178050,19652049000,109178050,180,13229,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063294/SRR6063294.1,SRX3208345,wHAIPI012661-32,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347929,simple,29159,Crassostrea gigas,8A_11,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,017A950F14B002790BCCA32DA94862CF,5B84767A0A3E96FF6D9E6CC16E55A404
SRS2533443,SAMN07347927,  8A_1, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063293,2018-07-30 10:46:19,2017-09-23 20:32:26,95254942,17145889560,95254942,180,11602,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063293/SRR6063293.1,SRX3208346,wHAIPI012655-24,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347927,simple,29159,Crassostrea gigas,8A_1,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,F256661F5C977BD6EA41614D1E49C46E,CF407CEEFB41D07979559526BCA280F0
SRS2533446,SAMN07347934,  8A_3, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063288,2018-07-30 10:46:20,2017-09-24 03:30:40,113976493,20515768740,113976493,180,13786,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063288/SRR6063288.1,SRX3208351,wHAIPI013921-33,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347934,simple,29159,Crassostrea gigas,8A_3,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,2A439895E58F0BD7C5B9B98C7171DA4C,DD101C56D97EC620CAF658A1E0BDB7FF
SRS2533448,SAMN07347935,  8A_6, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063287,2018-07-30 10:46:20,2017-09-23 21:09:28,107147303,19286514540,107147303,180,13123,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063287/SRR6063287.1,SRX3208352,wHAIPI012658-29,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347935,simple,29159,Crassostrea gigas,8A_6,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,860D9F52BEF476AA3033E164F4918D59,7C403921AD92301C668B8BF7A0B1E7B6
SRS2533564,SAMN07347933,  8A_2, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063455,2018-07-30 10:46:23,2017-09-24 00:08:29,95165486,17129787480,95165486,180,11523,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063455/SRR6063455.1,SRX3208468,wHAIPI013919-26,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347933,simple,29159,Crassostrea gigas,8A_2,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,9A3FDD74C4D5719C675BBF48ECE27BC6,50A24ADD17E5CFC894B496B928EBA5E8
SRS2533572,SAMN07347932,  8A_15, China:Bayuquan,China,BYQ,40.31866,122.05626,SRR6063454,2018-07-30 10:46:23,2017-09-24 00:11:29,101262879,18227318220,101262879,180,12278,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063454/SRR6063454.1,SRX3208476,wHAIPI013916-25,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347932,simple,29159,Crassostrea gigas,8A_15,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,21CF6ADFA3344213539E09ADF54AB049,06584D6C224649D5D13D3859926E9B42
SRS2533300,SAMN07347855,  28A_6, China:Binzhou,China,BZ,38.168728,118.043381,SRR6063032,2018-07-30 10:46:16,2017-09-23 16:55:09,107573437,19363218660,107573437,180,12445,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063032/SRR6063032.1,SRX3208204,wHAIPI012793-97,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347855,simple,29159,Crassostrea gigas,28A_6,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,4E3AC4DA6F666B02AA54405AAC863EC0,615AEC392324B5DA36ED7082949FBA59
SRS2533301,SAMN07347856,  28A_7, China:Binzhou,China,BZ,38.168728,118.043381,SRR6063031,2018-07-30 10:46:16,2017-09-23 17:16:21,107104910,19278883800,107104910,180,12524,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063031/SRR6063031.1,SRX3208205,wHAIPI013920-47,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347856,simple,29159,Crassostrea gigas,28A_7,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,C88C18DD0C4C4EBAE0D0C3CD8B5477FE,7B39A0FD491C4C82D82A6CCA83D01B73
