pop,Abbreviation,Region,Region2,NatNon,Date_of_Collection,Latitude,n,Ho,Hs,Fis,mean rsq,mean exp rsq,Ne,Ne.lci,Ne.hci
OHK,Ohkamo River in Izu Peninsura (Shimoda city),Japan,Tokyo,Native,6-Aug-17,34.65528,15,0.192,0.147,-0.155,0.082,0.082,         Inf,1971,         Inf
OKA,Okayama_Japan,Japan,Seto,Native,,34.45628,23,0.194,0.148,-0.144,0.050,0.050,1075,740,1960
OTA,Oita_Japan,Japan,Seto,Native,,33.62537,27,0.194,0.148,-0.136,0.042,0.041,1076,781,1720
PES,Los Penasquitos Lagoon Coast hwy,soCal,soCalifornia,Introduced,,32.93318,16,0.187,0.144,-0.149,0.076,0.076,         Inf,1780,         Inf
QB2,Quilcene - Hood Canal,NW America,PNW,Introduced,Fall 2021,47.79335,20,0.184,0.141,-0.148,0.058,0.058,2564,1132,         Inf
SAM,Same River in Iwaki City,Japan,Miyagi,Native,14-Jul-17,36.90936,25,0.187,0.144,-0.136,0.045,0.045,5954,1826,         Inf
SAR,Lake Saroma,Japan,Akkeshi,Native,17-Aug,44.12084,26,0.185,0.141,-0.143,0.043,0.043,2507,1311,26900
SBB,San Blas Bay (SB),Argentina,Argentina,Introduced,,-40.5394,16,0.183,0.140,-0.167,0.076,0.076,648,454,1130
SVA,Svallhagen,Sweden,noEurope,Introduced,year 2013,58.8684,18,0.187,0.143,-0.164,0.067,0.066,489,382,676
TJE,TJE Boca Rio,soCal,soCalifornia,Introduced,,32.5595,11,0.188,0.144,-0.167,0.121,0.121,         Inf,1014,         Inf
TRO,Tromlingene,Norway,noEurope,Introduced,year 2013,58.4748,16,0.187,0.142,-0.171,0.077,0.076,486,368,712
WAD,Wadden Sea,Denmark,noEurope,Introduced,year 2013,55.1859,19,0.191,0.144,-0.173,0.063,0.062,338,286,412
WLB,WillapaBay_Nahcotta,NW America,PNW,Introduced,20-May-17,46.46874,12,0.181,0.139,-0.160,0.108,0.108,         Inf,1932,         Inf
YOJ,Yojiro Kagoshima,Japan,Kagoshima,Native,10-Aug-17,31.55863,1,0.186,NA,NA,NA,NA,NA,NA,NA
YUR,Yura_Sumoto_HyogoPrefecture,Japan,Seto,Native,8-May-17,34.27394,13,0.191,0.146,-0.161,0.098,0.098,1547,673,         Inf
